Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INSM","INSMED INC","Health Care","Equity","302,650,483.35","0.46","302,650,483.35","3,945,385.00","76.71","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","232,987,503.36","0.36","232,987,503.36","926,318.00","251.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","221,455,810.32","0.34","221,455,810.32","1,278,318.00","173.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","Consumer Staples","Equity","211,982,885.61","0.32","211,982,885.61","2,565,447.00","82.63","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","207,371,250.84","0.32","207,371,250.84","4,352,881.00","47.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Information Technology","Equity","189,590,945.25","0.29","189,590,945.25","945,355.00","200.55","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","189,453,390.14","0.29","189,453,390.14","1,410,358.00","134.33","United States","NASDAQ","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrials","Equity","188,895,122.50","0.29","188,895,122.50","975,950.00","193.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","182,456,872.83","0.28","182,456,872.83","2,764,917.00","65.99","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","181,898,355.94","0.28","181,898,355.94","1,544,522.00","117.77","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","176,076,320.96","0.27","176,076,320.96","1,147,376.00","153.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLI","MUELLER INDUSTRIES INC","Industrials","Equity","170,578,188.40","0.26","170,578,188.40","2,847,716.00","59.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","166,776,866.69","0.25","166,776,866.69","1,072,727.00","155.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","164,703,469.32","0.25","164,703,469.32","2,153,268.00","76.49","United States","NASDAQ","USD","1.00","USD","-"
"SSB","SOUTHSTATE CORP","Financials","Equity","164,168,299.46","0.25","164,168,299.46","1,968,917.00","83.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","163,544,569.50","0.25","163,544,569.50","2,946,749.00","55.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","162,352,006.00","0.25","162,352,006.00","2,660,200.00","61.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","162,154,052.90","0.25","162,154,052.90","911,285.00","177.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","158,848,512.12","0.24","158,848,512.12","2,837,594.00","55.98","United States","NASDAQ","USD","1.00","USD","-"
"BECN","BEACON ROOFING SUPPLY INC","Industrials","Equity","157,353,665.91","0.24","157,353,665.91","1,620,699.00","97.09","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","156,013,934.56","0.24","156,013,934.56","908,008.00","171.82","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","154,371,648.68","0.24","154,371,648.68","3,730,586.00","41.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","151,805,071.60","0.23","151,805,071.60","1,500,940.00","101.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","148,212,004.64","0.23","148,212,004.64","8,161,454.00","18.16","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","143,656,545.27","0.22","143,656,545.27","744,373.00","192.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Consumer Discretionary","Equity","141,878,490.60","0.22","141,878,490.60","1,316,127.00","107.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","140,910,219.24","0.22","140,910,219.24","610,556.00","230.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COOP","MR COOPER GROUP INC","Financials","Equity","140,422,157.76","0.21","140,422,157.76","1,650,472.00","85.08","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","140,168,200.80","0.21","140,168,200.80","2,834,544.00","49.45","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","138,420,603.36","0.21","138,420,603.36","1,525,464.00","90.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","136,137,755.76","0.21","136,137,755.76","1,551,958.00","87.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","135,930,833.28","0.21","135,930,833.28","818,466.00","166.08","United States","NASDAQ","USD","1.00","USD","-"
"CRS","CARPENTER TECHNOLOGY CORP","Materials","Equity","134,302,219.29","0.21","134,302,219.29","1,210,257.00","110.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","133,987,485.47","0.20","133,987,485.47","942,313.00","142.19","United States","NASDAQ","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","132,811,490.24","0.20","132,811,490.24","2,902,349.00","45.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","131,684,266.56","0.20","131,684,266.56","2,930,224.00","44.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","130,940,871.12","0.20","130,940,871.12","693,249.00","188.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","130,567,593.93","0.20","130,567,593.93","1,715,061.00","76.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","129,928,833.32","0.20","129,928,833.32","902,033.00","144.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","129,442,989.48","0.20","129,442,989.48","723,226.00","178.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","127,927,674.42","0.20","127,927,674.42","515,879.00","247.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Industrials","Equity","126,787,149.72","0.19","126,787,149.72","1,278,354.00","99.18","United States","NASDAQ","USD","1.00","USD","-"
"BCC","BOISE CASCADE","Industrials","Equity","126,406,233.60","0.19","126,406,233.60","1,010,280.00","125.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","125,287,542.30","0.19","125,287,542.30","1,451,095.00","86.34","United States","NASDAQ","USD","1.00","USD","-"
"TDW","TIDEWATER INC","Energy","Equity","123,065,306.44","0.19","123,065,306.44","1,237,708.00","99.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACLS","AXCELIS TECHNOLOGIES INC","Information Technology","Equity","123,035,199.42","0.19","123,035,199.42","827,183.00","148.74","United States","NASDAQ","USD","1.00","USD","-"
"ITRI","ITRON INC","Information Technology","Equity","122,269,893.60","0.19","122,269,893.60","1,169,040.00","104.59","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","119,766,625.36","0.18","119,766,625.36","1,150,717.00","104.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","117,398,589.92","0.18","117,398,589.92","1,968,784.00","59.63","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","117,099,918.40","0.18","117,099,918.40","2,608,016.00","44.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","115,520,169.60","0.18","115,520,169.60","2,931,984.00","39.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FUL","HB FULLER","Materials","Equity","115,511,206.92","0.18","115,511,206.92","1,393,212.00","82.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","115,263,140.58","0.18","115,263,140.58","1,272,501.00","90.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","Health Care","Equity","168,117,614.92","0.26","168,117,614.92","3,161,294.00","53.18","United States","NASDAQ","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","151,352,837.52","0.23","151,352,837.52","1,571,028.00","96.34","United States","NASDAQ","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","145,184,910.34","0.22","145,184,910.34","714,563.00","203.18","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","136,639,307.21","0.21","136,639,307.21","1,110,979.00","122.99","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","115,152,345.00","0.18","115,152,345.00","664,660.00","173.25","United States","NASDAQ","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","114,477,254.01","0.17","114,477,254.01","3,358,089.00","34.09","United States","NASDAQ","USD","1.00","USD","-"
"FELE","FRANKLIN ELECTRIC INC","Industrials","Equity","112,449,097.88","0.17","112,449,097.88","1,137,458.00","98.86","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","112,198,111.20","0.17","112,198,111.20","1,553,130.00","72.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","111,997,658.16","0.17","111,997,658.16","2,506,662.00","44.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASGN","ASGN INC","Information Technology","Equity","110,930,897.88","0.17","110,930,897.88","1,171,764.00","94.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","110,241,545.67","0.17","110,241,545.67","453,837.00","242.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","109,296,508.77","0.17","109,296,508.77","2,204,003.00","49.59","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","109,253,369.50","0.17","109,253,369.50","2,721,130.00","40.15","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","108,448,671.60","0.17","108,448,671.60","868,284.00","124.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","108,056,936.50","0.17","108,056,936.50","948,950.00","113.87","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","107,742,555.00","0.16","107,742,555.00","1,014,525.00","106.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBF","PBF ENERGY INC CLASS A","Energy","Equity","107,566,237.04","0.16","107,566,237.04","2,641,607.00","40.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWI","POWER INTEGRATIONS INC","Information Technology","Equity","107,165,719.96","0.16","107,165,719.96","1,426,214.00","75.14","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","105,495,760.20","0.16","105,495,760.20","1,174,132.00","89.85","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","103,954,111.31","0.16","103,954,111.31","994,681.00","104.51","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","103,667,556.80","0.16","103,667,556.80","3,357,110.00","30.88","United States","NASDAQ","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","103,347,011.82","0.16","103,347,011.82","1,682,902.00","61.41","United States","NASDAQ","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","102,679,922.52","0.16","102,679,922.52","1,663,641.00","61.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEM","SELECT MEDICAL HOLDINGS CORP","Health Care","Equity","102,425,229.32","0.16","102,425,229.32","2,732,068.00","37.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","102,198,171.79","0.16","102,198,171.79","2,332,759.00","43.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","101,977,282.55","0.16","101,977,282.55","848,185.00","120.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","101,165,775.66","0.15","101,165,775.66","1,765,854.00","57.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","100,438,251.75","0.15","100,438,251.75","4,261,275.00","23.57","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","99,332,409.62","0.15","99,332,409.62","1,402,802.00","70.81","United States","NASDAQ","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","99,151,455.15","0.15","99,151,455.15","1,032,505.00","96.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEO","AMERICAN EAGLE OUTFITTERS INC","Consumer Discretionary","Equity","98,496,494.65","0.15","98,496,494.65","4,652,645.00","21.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","98,430,783.48","0.15","98,430,783.48","720,999.00","136.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","98,132,791.30","0.15","98,132,791.30","18,515,621.00","5.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","97,756,046.80","0.15","97,756,046.80","1,158,247.00","84.40","United States","NASDAQ","USD","1.00","USD","-"
"TPH","TRI POINTE HOMES INC","Consumer Discretionary","Equity","97,589,517.04","0.15","97,589,517.04","2,369,828.00","41.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","97,479,705.60","0.15","97,479,705.60","804,288.00","121.20","United States","NASDAQ","USD","1.00","USD","-"
"KAI","KADANT INC","Industrials","Equity","96,693,583.60","0.15","96,693,583.60","298,069.00","324.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESGR","ENSTAR GROUP LTD","Financials","Equity","107,953,279.35","0.16","107,953,279.35","328,755.00","328.37","United States","NASDAQ","USD","1.00","USD","-"
"IRT","INDEPENDENCE REALTY INC TRUST","Real Estate","Equity","107,519,710.16","0.16","107,519,710.16","5,786,852.00","18.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","106,674,026.67","0.16","106,674,026.67","3,231,567.00","33.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","105,903,090.24","0.16","105,903,090.24","3,126,752.00","33.87","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","102,890,942.55","0.16","102,890,942.55","1,367,685.00","75.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIG","SIGNET JEWELERS LTD","Consumer Discretionary","Equity","95,648,650.54","0.15","95,648,650.54","1,085,806.00","88.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","95,497,028.43","0.15","95,497,028.43","1,284,771.00","74.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","94,409,623.75","0.14","94,409,623.75","1,438,075.00","65.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","94,317,328.32","0.14","94,317,328.32","752,672.00","125.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","97,157,731.77","0.15","97,157,731.77","573,913.00","169.29","United States","NASDAQ","USD","1.00","USD","-"